,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Sales
26,295688,Apple Airpods Headphones,1,150,8/12/2019 11:21,"546 Park St, Los Angeles, CA 90001",150
,,,,,,,
27,295689,LG Washing Machine,1,600,24/12/2019 11:21,"173 Lake St, San Francisco, CA 94016",600
,,,,,,,
28,295690,Apple Airpods Headphones,1,150,4/12/2019 0:44,"174 Cedar St, Seattle, WA 98101",150
,,,,,,,
29,295691,Bose SoundSport Headphones,1,99.99,22/12/2019 18:34,"102 Johnson St, Los Angeles, CA 90001",99.99
,,,,,,,
30,295692,AA Batteries (4-pack),2,3.84,14/12/2019 01:21,"640 Cherry St, Los Angeles, CA 90001",7.68
,,,,,,,
31,295693,Wired Headphones,1,11.99,16/12/2019 16:40,"856 12th St, Atlanta, GA 30301",11.99
,,,,,,,
32,295694,Lightning Charging Cable,1,14.95,26/12/2019 18:18,"310 Pine St, Dallas, TX 75001",14.95
,,,,,,,
33,295695,Lightning Charging Cable,1,14.95,14/12/2019 06:09,"903 Lincoln St, Boston, MA 02215",14.95
,,,,,,,
34,295696,Lightning Charging Cable,1,14.95,23/12/2019 13:09,"252 Hickory St, San Francisco, CA 94016",14.95
,,,,,,,
35,295697,ThinkPad Laptop,1,999.99,15/12/2019 07:38,"742 River St, San Francisco, CA 94016",999.99
,,,,,,,
36,295698,Vareebadd Phone,1,400,13/12/2019 14:32,"175 1st St, New York City, NY 10001",400
,,,,,,,
37,295698,USB-C Charging Cable,2,11.95,13/12/2019 14:32,"175 1st St, New York City, NY 10001",23.9
,,,,,,,
38,295699,AA Batteries (4-pack),1,3.84,17/12/2019 18:32,"162 Maple St, Seattle, WA 98101",3.84
,,,,,,,
39,295700,Bose SoundSport Headphones,1,99.99,25/12/2019 19:02,"363 Hickory St, New York City, NY 10001",99.99
,,,,,,,
40,295701,Bose SoundSport Headphones,1,99.99,28/12/2019 15:05,"751 North St, San Francisco, CA 94016",99.99
,,,,,,,
41,295702,Wired Headphones,2,11.99,21/12/2019 18:50,"628 River St, Austin, TX 73301",23.98
,,,,,,,
42,295703,AA Batteries (4-pack),1,3.84,17/12/2019 12:27,"502 Jefferson St, Austin, TX 73301",3.84
,,,,,,,
43,295703,Bose SoundSport Headphones,1,99.99,17/12/2019 12:27,"502 Jefferson St, Austin, TX 73301",99.99
,,,,,,,
44,295704,Wired Headphones,1,11.99,12/12/2019 0:20,"457 8th St, New York City, NY 10001",11.99
,,,,,,,
45,295705,Wired Headphones,1,11.99,25/12/2019 10:41,"133 Jackson St, New York City, NY 10001",11.99
,,,,,,,
46,295706,AAA Batteries (4-pack),3,2.99,12/12/2019 20:08,"599 Hill St, Los Angeles, CA 90001",8.97
,,,,,,,
47,295707,Lightning Charging Cable,1,14.95,7/12/2019 11:01,"547 Ridge St, San Francisco, CA 94016",14.95
,,,,,,,
48,295708,27in FHD Monitor,1,149.99,13/12/2019 14:55,"846 9th St, Boston, MA 02215",149.99
,,,,,,,
49,295709,Bose SoundSport Headphones,1,99.99,25/12/2019 16:38,"662 6th St, San Francisco, CA 94016",99.99
,,,,,,,
50,295710,AAA Batteries (4-pack),1,2.99,26/12/2019 19:09,"729 Pine St, Atlanta, GA 30301",2.99
,,,,,,,
51,295711,AAA Batteries (4-pack),2,2.99,4/12/2019 13:43,"489 Johnson St, San Francisco, CA 94016",5.98
,,,,,,,
52,295712,Macbook Pro Laptop,1,1700,10/12/2019 20:02,"331 Madison St, New York City, NY 10001",1700
,,,,,,,
53,295713,Bose SoundSport Headphones,1,99.99,24/12/2019 07:55,"490 Spruce St, New York City, NY 10001",99.99
,,,,,,,
54,295714,iPhone,1,700,31/12/2019 07:39,"826 Hickory St, Los Angeles, CA 90001",700
,,,,,,,
55,295715,USB-C Charging Cable,2,11.95,17/12/2019 18:20,"169 Maple St, Seattle, WA 98101",23.9
,,,,,,,
56,295716,20in Monitor,1,109.99,3/12/2019 23:28,"593 9th St, Los Angeles, CA 90001",109.99
,,,,,,,
57,295717,Macbook Pro Laptop,1,1700,25/12/2019 09:51,"82 10th St, San Francisco, CA 94016",1700
,,,,,,,
58,295718,Lightning Charging Cable,1,14.95,27/12/2019 17:25,"785 Chestnut St, San Francisco, CA 94016",14.95
,,,,,,,
59,295719,27in FHD Monitor,1,149.99,24/12/2019 18:51,"334 2nd St, Los Angeles, CA 90001",149.99
,,,,,,,
60,295720,AA Batteries (4-pack),1,3.84,17/12/2019 22:52,"298 Ridge St, New York City, NY 10001",3.84
,,,,,,,
61,295721,34in Ultrawide Monitor,1,379.99,8/12/2019 18:22,"915 1st St, Seattle, WA 98101",379.99
,,,,,,,
62,295722,Wired Headphones,1,11.99,8/12/2019 23:46,"380 Lake St, San Francisco, CA 94016",11.99
,,,,,,,
63,295723,AA Batteries (4-pack),1,3.84,7/12/2019 13:59,"530 Walnut St, Los Angeles, CA 90001",3.84
,,,,,,,
64,295724,AA Batteries (4-pack),2,3.84,3/12/2019 14:19,"570 Walnut St, Dallas, TX 75001",7.68
,,,,,,,
65,295725,AAA Batteries (4-pack),3,2.99,5/12/2019 15:01,"911 River St, San Francisco, CA 94016",8.97
,,,,,,,
66,295726,iPhone,1,700,25/12/2019 14:49,"203 Lakeview St, Boston, MA 02215",700
,,,,,,,
67,295726,Lightning Charging Cable,1,14.95,25/12/2019 14:49,"203 Lakeview St, Boston, MA 02215",14.95
,,,,,,,
68,295727,Bose SoundSport Headphones,1,99.99,14/12/2019 14:03,"5 Dogwood St, San Francisco, CA 94016",99.99
,,,,,,,
69,295728,27in FHD Monitor,1,149.99,21/12/2019 19:21,"366 Washington St, New York City, NY 10001",149.99
,,,,,,,
70,295729,34in Ultrawide Monitor,1,379.99,28/12/2019 21:58,"432 1st St, Dallas, TX 75001",379.99
,,,,,,,
71,295730,34in Ultrawide Monitor,1,379.99,14/12/2019 20:04,"574 West St, San Francisco, CA 94016",379.99
,,,,,,,
72,295731,USB-C Charging Cable,1,11.95,16/12/2019 11:47,"33 9th St, San Francisco, CA 94016",11.95
,,,,,,,
73,295732,Apple Airpods Headphones,1,150,29/12/2019 18:44,"860 Washington St, Boston, MA 02215",150
,,,,,,,
74,295733,27in FHD Monitor,1,149.99,20/12/2019 11:31,"228 5th St, Boston, MA 02215",149.99
,,,,,,,
75,295734,AAA Batteries (4-pack),1,2.99,25/12/2019 12:38,"453 Jackson St, Portland, OR 97035",2.99
,,,,,,,
76,295735,iPhone,1,700,22/12/2019 18:25,"374 Lincoln St, New York City, NY 10001",700
,,,,,,,
77,295735,Apple Airpods Headphones,1,150,22/12/2019 18:25,"374 Lincoln St, New York City, NY 10001",150
,,,,,,,
78,295735,Wired Headphones,1,11.99,22/12/2019 18:25,"374 Lincoln St, New York City, NY 10001",11.99
,,,,,,,
79,295736,USB-C Charging Cable,2,11.95,27/12/2019 14:26,"523 Lincoln St, San Francisco, CA 94016",23.9
,,,,,,,
80,295737,iPhone,1,700,19/12/2019 08:51,"966 10th St, Atlanta, GA 30301",700
,,,,,,,
81,295737,Lightning Charging Cable,1,14.95,19/12/2019 08:51,"966 10th St, Atlanta, GA 30301",14.95
,,,,,,,
82,295738,AAA Batteries (4-pack),1,2.99,20/12/2019 18:19,"829 7th St, Dallas, TX 75001",2.99
,,,,,,,
83,295739,USB-C Charging Cable,1,11.95,14/12/2019 21:07,"949 Wilson St, Los Angeles, CA 90001",11.95
,,,,,,,
84,295740,USB-C Charging Cable,1,11.95,1/12/2019 20:36,"102 Cedar St, New York City, NY 10001",11.95
,,,,,,,
85,295741,Apple Airpods Headphones,1,150,2/12/2019 21:39,"829 Johnson St, Boston, MA 02215",150
,,,,,,,
86,295742,Apple Airpods Headphones,1,150,9/12/2019 23:45,"368 Sunset St, New York City, NY 10001",150
,,,,,,,
87,295743,USB-C Charging Cable,1,11.95,3/12/2019 11:52,"346 South St, New York City, NY 10001",11.95
,,,,,,,
88,295744,AA Batteries (4-pack),2,3.84,19/12/2019 03:54,"579 Lake St, San Francisco, CA 94016",7.68
,,,,,,,
89,295745,Flatscreen TV,1,300,24/12/2019 10:38,"124 Lakeview St, New York City, NY 10001",300
,,,,,,,
90,295746,27in FHD Monitor,1,149.99,27/12/2019 16:14,"143 Adams St, New York City, NY 10001",149.99
,,,,,,,
91,295747,AA Batteries (4-pack),3,3.84,10/12/2019 21:50,"11 8th St, San Francisco, CA 94016",11.52
,,,,,,,
92,295748,Wired Headphones,1,11.99,7/12/2019 19:39,"45 Church St, Boston, MA 02215",11.99
,,,,,,,
93,295749,Wired Headphones,2,11.99,4/12/2019 5:24,"983 Highland St, Los Angeles, CA 90001",23.98
,,,,,,,
94,295750,Bose SoundSport Headphones,1,99.99,27/12/2019 20:26,"25 Lincoln St, San Francisco, CA 94016",99.99
,,,,,,,
95,295751,AAA Batteries (4-pack),1,2.99,29/12/2019 11:03,"922 Hickory St, Los Angeles, CA 90001",2.99
,,,,,,,
96,295752,Google Phone,1,600,11/12/2019 12:29,"341 Forest St, Dallas, TX 75001",600
,,,,,,,
97,295753,34in Ultrawide Monitor,1,379.99,25/12/2019 06:26,"365 Washington St, Dallas, TX 75001",379.99
,,,,,,,
98,295753,Lightning Charging Cable,1,14.95,25/12/2019 06:26,"365 Washington St, Dallas, TX 75001",14.95
,,,,,,,
99,295754,Lightning Charging Cable,1,14.95,7/12/2019 19:26,"502 Cherry St, Austin, TX 73301",14.95
,,,,,,,
100,295755,Apple Airpods Headphones,1,150,21/12/2019 06:52,"32 1st St, Boston, MA 02215",150
,,,,,,,
101,295756,34in Ultrawide Monitor,1,379.99,2/12/2019 22:44,"20 Wilson St, Atlanta, GA 30301",379.99
,,,,,,,
102,295757,AA Batteries (4-pack),1,3.84,5/12/2019 8:59,"819 Lake St, Portland, OR 97035",3.84
,,,,,,,
103,295758,Wired Headphones,1,11.99,26/12/2019 23:42,"910 Jackson St, New York City, NY 10001",11.99
,,,,,,,
104,295759,Bose SoundSport Headphones,1,99.99,25/12/2019 06:53,"15 Pine St, New York City, NY 10001",99.99
,,,,,,,
105,295759,Wired Headphones,1,11.99,25/12/2019 06:53,"15 Pine St, New York City, NY 10001",11.99
,,,,,,,
106,295760,Bose SoundSport Headphones,1,99.99,30/12/2019 18:40,"239 4th St, Atlanta, GA 30301",99.99
,,,,,,,
107,295761,Lightning Charging Cable,1,14.95,31/12/2019 17:32,"79 Chestnut St, Dallas, TX 75001",14.95
,,,,,,,
108,295762,iPhone,1,700,4/12/2019 8:16,"342 9th St, New York City, NY 10001",700
,,,,,,,
109,295763,27in FHD Monitor,1,149.99,18/12/2019 13:15,"594 4th St, Los Angeles, CA 90001",149.99
,,,,,,,
110,295764,Lightning Charging Cable,1,14.95,1/12/2019 14:44,"734 Hill St, New York City, NY 10001",14.95
,,,,,,,
111,295765,Wired Headphones,1,11.99,8/12/2019 20:22,"918 4th St, Seattle, WA 98101",11.99
,,,,,,,
112,295766,Lightning Charging Cable,1,14.95,17/12/2019 22:58,"795 8th St, Seattle, WA 98101",14.95
,,,,,,,
113,295767,AAA Batteries (4-pack),1,2.99,21/12/2019 13:00,"891 7th St, New York City, NY 10001",2.99
,,,,,,,
114,295768,AAA Batteries (4-pack),2,2.99,22/12/2019 22:36,"98 Johnson St, New York City, NY 10001",5.98
,,,,,,,
115,295769,Bose SoundSport Headphones,1,99.99,27/12/2019 19:44,"309 6th St, San Francisco, CA 94016",99.99
,,,,,,,
116,295770,Bose SoundSport Headphones,1,99.99,28/12/2019 10:27,"307 South St, San Francisco, CA 94016",99.99
,,,,,,,
117,295771,AAA Batteries (4-pack),1,2.99,23/12/2019 12:10,"352 Meadow St, San Francisco, CA 94016",2.99
,,,,,,,
118,295772,Lightning Charging Cable,1,14.95,17/12/2019 10:24,"44 Main St, Atlanta, GA 30301",14.95
,,,,,,,
119,295773,Apple Airpods Headphones,1,150,7/12/2019 20:09,"632 Cherry St, Los Angeles, CA 90001",150
,,,,,,,
120,295774,Bose SoundSport Headphones,1,99.99,31/12/2019 11:00,"196 Wilson St, Los Angeles, CA 90001",99.99
,,,,,,,
121,295775,Google Phone,1,600,4/12/2019 15:02,"439 Jefferson St, Dallas, TX 75001",600
,,,,,,,
122,295776,USB-C Charging Cable,1,11.95,22/12/2019 20:23,"552 Hill St, Atlanta, GA 30301",11.95
,,,,,,,
123,295777,AAA Batteries (4-pack),1,2.99,9/12/2019 19:47,"598 14th St, Atlanta, GA 30301",2.99
,,,,,,,
124,295778,AA Batteries (4-pack),1,3.84,8/12/2019 21:09,"820 Adams St, San Francisco, CA 94016",3.84
,,,,,,,
125,295779,Wired Headphones,1,11.99,25/12/2019 15:40,"201 Madison St, Los Angeles, CA 90001",11.99
,,,,,,,
126,295780,USB-C Charging Cable,1,11.95,26/12/2019 00:08,"864 Hickory St, Boston, MA 02215",11.95
,,,,,,,
127,295781,USB-C Charging Cable,1,11.95,8/12/2019 12:32,"413 Forest St, Boston, MA 02215",11.95
,,,,,,,
128,295782,34in Ultrawide Monitor,1,379.99,19/12/2019 20:06,"544 South St, Dallas, TX 75001",379.99
,,,,,,,
129,295783,Vareebadd Phone,1,400,6/12/2019 12:41,"87 5th St, San Francisco, CA 94016",400
,,,,,,,
130,295783,USB-C Charging Cable,1,11.95,6/12/2019 12:41,"87 5th St, San Francisco, CA 94016",11.95
,,,,,,,
131,295784,USB-C Charging Cable,1,11.95,31/12/2019 13:04,"935 Jackson St, Seattle, WA 98101",11.95
,,,,,,,
132,295785,Bose SoundSport Headphones,1,99.99,9/12/2019 20:35,"801 West St, Boston, MA 02215",99.99
,,,,,,,
133,295786,USB-C Charging Cable,1,11.95,24/12/2019 10:27,"859 12th St, Atlanta, GA 30301",11.95
,,,,,,,
134,295786,Apple Airpods Headphones,1,150,24/12/2019 10:27,"859 12th St, Atlanta, GA 30301",150
,,,,,,,
135,295787,USB-C Charging Cable,1,11.95,28/12/2019 21:03,"458 Elm St, Atlanta, GA 30301",11.95
,,,,,,,
136,295788,AA Batteries (4-pack),1,3.84,28/12/2019 20:30,"885 Lincoln St, Los Angeles, CA 90001",3.84
,,,,,,,
137,295789,Lightning Charging Cable,1,14.95,5/12/2019 15:09,"157 Main St, Austin, TX 73301",14.95
,,,,,,,
138,295790,Lightning Charging Cable,1,14.95,5/12/2019 19:20,"420 Center St, Los Angeles, CA 90001",14.95
,,,,,,,
139,295791,USB-C Charging Cable,1,11.95,14/12/2019 10:22,"286 North St, New York City, NY 10001",11.95
,,,,,,,
140,295792,Lightning Charging Cable,1,14.95,20/12/2019 09:46,"5 11th St, San Francisco, CA 94016",14.95
,,,,,,,
141,295793,Google Phone,1,600,15/12/2019 11:26,"275 Jackson St, San Francisco, CA 94016",600
,,,,,,,
142,295793,USB-C Charging Cable,1,11.95,15/12/2019 11:26,"275 Jackson St, San Francisco, CA 94016",11.95
,,,,,,,
143,295794,27in 4K Gaming Monitor,1,389.99,20/12/2019 15:43,"796 Chestnut St, Boston, MA 02215",389.99
,,,,,,,
144,295795,Apple Airpods Headphones,1,150,8/12/2019 20:01,"177 Walnut St, Los Angeles, CA 90001",150
,,,,,,,
145,295796,Lightning Charging Cable,1,14.95,13/12/2019 21:11,"677 Lakeview St, Seattle, WA 98101",14.95
,,,,,,,
146,295797,Wired Headphones,1,11.99,16/12/2019 09:23,"163 Washington St, Portland, ME 04101",11.99
,,,,,,,
147,295798,Wired Headphones,1,11.99,5/12/2019 12:10,"372 Chestnut St, Austin, TX 73301",11.99
,,,,,,,
148,295799,AAA Batteries (4-pack),1,2.99,22/12/2019 08:02,"236 Elm St, Los Angeles, CA 90001",2.99
,,,,,,,
149,295800,AAA Batteries (4-pack),1,2.99,29/12/2019 10:07,"140 10th St, Atlanta, GA 30301",2.99
,,,,,,,
150,295801,Lightning Charging Cable,1,14.95,19/12/2019 12:57,"943 Johnson St, San Francisco, CA 94016",14.95
,,,,,,,
151,295802,34in Ultrawide Monitor,1,379.99,11/12/2019 19:45,"838 Ridge St, San Francisco, CA 94016",379.99
,,,,,,,
152,295803,Lightning Charging Cable,1,14.95,24/12/2019 10:39,"513 Maple St, Los Angeles, CA 90001",14.95
,,,,,,,
153,295804,Apple Airpods Headphones,1,150,20/12/2019 02:31,"705 4th St, Los Angeles, CA 90001",150
,,,,,,,
154,295805,Wired Headphones,1,11.99,6/12/2019 14:55,"528 Willow St, New York City, NY 10001",11.99
,,,,,,,
155,295806,Lightning Charging Cable,1,14.95,1/12/2019 8:16,"323 Forest St, Dallas, TX 75001",14.95
,,,,,,,
156,295807,20in Monitor,1,109.99,23/12/2019 10:59,"286 Lincoln St, Los Angeles, CA 90001",109.99
,,,,,,,
157,295808,AAA Batteries (4-pack),1,2.99,21/12/2019 10:45,"961 Jackson St, San Francisco, CA 94016",2.99
,,,,,,,
158,295809,27in FHD Monitor,1,149.99,28/12/2019 12:33,"602 Ridge St, San Francisco, CA 94016",149.99
,,,,,,,
159,295810,Lightning Charging Cable,1,14.95,17/12/2019 08:45,"499 13th St, San Francisco, CA 94016",14.95
,,,,,,,
160,295811,AAA Batteries (4-pack),1,2.99,23/12/2019 11:59,"792 7th St, New York City, NY 10001",2.99
,,,,,,,
161,295812,AA Batteries (4-pack),1,3.84,23/12/2019 14:58,"359 12th St, Seattle, WA 98101",3.84
,,,,,,,
162,295813,Bose SoundSport Headphones,1,99.99,11/12/2019 21:07,"901 Madison St, New York City, NY 10001",99.99
,,,,,,,
163,295814,AA Batteries (4-pack),3,3.84,24/12/2019 08:29,"987 Cherry St, Los Angeles, CA 90001",11.52
,,,,,,,
164,295815,Lightning Charging Cable,1,14.95,28/12/2019 18:44,"464 Willow St, Boston, MA 02215",14.95
,,,,,,,
165,295816,USB-C Charging Cable,1,11.95,21/12/2019 19:28,"253 Jefferson St, Atlanta, GA 30301",11.95
,,,,,,,
166,295817,USB-C Charging Cable,1,11.95,19/12/2019 06:07,"963 Washington St, Austin, TX 73301",11.95
,,,,,,,
167,295817,20in Monitor,1,109.99,19/12/2019 06:07,"963 Washington St, Austin, TX 73301",109.99
,,,,,,,
168,295818,Wired Headphones,1,11.99,7/12/2019 16:28,"725 Wilson St, Boston, MA 02215",11.99
,,,,,,,
169,295819,Lightning Charging Cable,1,14.95,23/12/2019 12:11,"138 Highland St, Portland, OR 97035",14.95
,,,,,,,
170,295820,Bose SoundSport Headphones,1,99.99,13/12/2019 09:42,"51 Highland St, San Francisco, CA 94016",99.99
,,,,,,,
171,295821,Bose SoundSport Headphones,1,99.99,29/12/2019 14:16,"65 Center St, Boston, MA 02215",99.99
,,,,,,,
172,295822,Google Phone,1,600,4/12/2019 13:53,"307 Wilson St, San Francisco, CA 94016",600
,,,,,,,
173,295822,Wired Headphones,1,11.99,4/12/2019 13:53,"307 Wilson St, San Francisco, CA 94016",11.99
,,,,,,,
174,295823,iPhone,1,700,10/12/2019 2:12,"852 Maple St, Austin, TX 73301",700
,,,,,,,
175,295824,Wired Headphones,1,11.99,29/12/2019 15:45,"611 North St, New York City, NY 10001",11.99
,,,,,,,
176,295825,Apple Airpods Headphones,1,150,17/12/2019 16:13,"189 Pine St, Atlanta, GA 30301",150
,,,,,,,
177,295826,USB-C Charging Cable,1,11.95,7/12/2019 14:18,"765 Washington St, San Francisco, CA 94016",11.95
,,,,,,,
178,295827,Bose SoundSport Headphones,1,99.99,1/12/2019 18:25,"486 4th St, Los Angeles, CA 90001",99.99
,,,,,,,
179,295828,USB-C Charging Cable,1,11.95,13/12/2019 18:56,"984 Chestnut St, San Francisco, CA 94016",11.95
,,,,,,,
180,295829,Google Phone,1,600,27/12/2019 13:07,"904 13th St, Atlanta, GA 30301",600
,,,,,,,
181,295829,USB-C Charging Cable,1,11.95,27/12/2019 13:07,"904 13th St, Atlanta, GA 30301",11.95
,,,,,,,
182,295830,Bose SoundSport Headphones,1,99.99,18/12/2019 14:52,"515 Main St, New York City, NY 10001",99.99
,,,,,,,
183,295831,27in 4K Gaming Monitor,1,389.99,19/12/2019 14:28,"335 Chestnut St, Dallas, TX 75001",389.99
,,,,,,,
184,295832,AA Batteries (4-pack),2,3.84,21/12/2019 15:52,"972 Sunset St, Boston, MA 02215",7.68
,,,,,,,
185,295833,USB-C Charging Cable,1,11.95,28/12/2019 21:48,"673 Church St, Atlanta, GA 30301",11.95
,,,,,,,
186,295834,Google Phone,1,600,16/12/2019 19:45,"847 Lakeview St, San Francisco, CA 94016",600
,,,,,,,
187,295835,USB-C Charging Cable,1,11.95,24/12/2019 15:34,"892 Adams St, Austin, TX 73301",11.95
,,,,,,,
188,295836,Lightning Charging Cable,1,14.95,15/12/2019 17:49,"686 Cedar St, San Francisco, CA 94016",14.95
,,,,,,,
189,295837,Bose SoundSport Headphones,1,99.99,30/12/2019 22:22,"654 Highland St, Los Angeles, CA 90001",99.99
,,,,,,,
190,295838,34in Ultrawide Monitor,1,379.99,14/12/2019 22:57,"321 8th St, San Francisco, CA 94016",379.99
,,,,,,,
191,295839,Apple Airpods Headphones,1,150,23/12/2019 12:28,"340 Lakeview St, Seattle, WA 98101",150
,,,,,,,
192,295840,27in 4K Gaming Monitor,1,389.99,7/12/2019 22:52,"442 10th St, Los Angeles, CA 90001",389.99
,,,,,,,
193,295841,Wired Headphones,1,11.99,1/12/2019 15:29,"610 Madison St, Atlanta, GA 30301",11.99
,,,,,,,
194,295842,Apple Airpods Headphones,1,150,3/12/2019 12:44,"50 5th St, Los Angeles, CA 90001",150
,,,,,,,
195,295843,Bose SoundSport Headphones,1,99.99,19/12/2019 14:02,"700 West St, San Francisco, CA 94016",99.99
,,,,,,,
196,295844,AA Batteries (4-pack),1,3.84,31/12/2019 17:51,"663 12th St, Atlanta, GA 30301",3.84
,,,,,,,
197,295845,Lightning Charging Cable,1,14.95,20/12/2019 09:53,"955 Sunset St, San Francisco, CA 94016",14.95
,,,,,,,
198,295846,Flatscreen TV,1,300,27/12/2019 19:22,"453 Johnson St, Atlanta, GA 30301",300
,,,,,,,
199,295847,34in Ultrawide Monitor,1,379.99,13/12/2019 15:56,"40 Madison St, Dallas, TX 75001",379.99
,,,,,,,
200,295848,Lightning Charging Cable,1,14.95,23/12/2019 19:25,"675 Chestnut St, San Francisco, CA 94016",14.95
,,,,,,,
201,295849,Wired Headphones,2,11.99,24/12/2019 14:42,"121 2nd St, New York City, NY 10001",23.98
,,,,,,,
202,295850,USB-C Charging Cable,1,11.95,29/12/2019 15:54,"480 1st St, Los Angeles, CA 90001",11.95
,,,,,,,
203,295851,iPhone,1,700,11/12/2019 17:08,"197 2nd St, Boston, MA 02215",700
,,,,,,,
204,295852,ThinkPad Laptop,1,999.99,24/12/2019 20:52,"639 Sunset St, Los Angeles, CA 90001",999.99
,,,,,,,
205,295853,Wired Headphones,1,11.99,5/12/2019 16:54,"982 Cedar St, New York City, NY 10001",11.99
,,,,,,,
206,295854,iPhone,1,700,29/12/2019 10:35,"183 Hickory St, Austin, TX 73301",700
,,,,,,,
207,295855,20in Monitor,1,109.99,12/12/2019 17:43,"584 9th St, Boston, MA 02215",109.99
,,,,,,,
208,295856,USB-C Charging Cable,1,11.95,24/12/2019 10:37,"214 7th St, Boston, MA 02215",11.95
,,,,,,,
209,295857,USB-C Charging Cable,1,11.95,30/12/2019 21:42,"984 Jefferson St, Portland, OR 97035",11.95
,,,,,,,
210,295858,AAA Batteries (4-pack),1,2.99,8/12/2019 0:13,"218 7th St, Dallas, TX 75001",2.99
,,,,,,,
211,295859,USB-C Charging Cable,1,11.95,29/12/2019 10:53,"588 Washington St, Los Angeles, CA 90001",11.95
,,,,,,,
212,295860,USB-C Charging Cable,1,11.95,5/12/2019 15:17,"227 Cherry St, New York City, NY 10001",11.95
,,,,,,,
213,295861,Lightning Charging Cable,1,14.95,1/12/2019 12:59,"510 Sunset St, New York City, NY 10001",14.95
,,,,,,,
214,295862,AAA Batteries (4-pack),1,2.99,3/12/2019 14:22,"654 12th St, Portland, ME 04101",2.99
,,,,,,,
215,295863,AA Batteries (4-pack),1,3.84,12/12/2019 11:14,"736 Ridge St, Atlanta, GA 30301",3.84
,,,,,,,
216,295864,27in 4K Gaming Monitor,1,389.99,20/12/2019 20:02,"434 4th St, Austin, TX 73301",389.99
,,,,,,,
217,295865,Bose SoundSport Headphones,1,99.99,3/12/2019 15:18,"92 2nd St, Los Angeles, CA 90001",99.99
,,,,,,,
218,295866,Wired Headphones,1,11.99,6/12/2019 13:57,"281 West St, Los Angeles, CA 90001",11.99
,,,,,,,
